115年01月臺北市各里人口數戶數,,,,,,,,,
行政區,里別,村里數_現有門牌,村里數_戶籍登記,鄰數_現有門牌,鄰數_戶籍登記,戶數,人口數-合計,人口數-男,人口數-女
大安區,通安里,1,1,20,20,2312,5047,2326,2721
大安區,臨江里,1,1,15,15,1816,3903,1809,2094
大安區,法治里,1,1,12,12,1875,4209,1933,2276
大安區,全安里,1,1,17,17,1812,3985,1818,2167
大安區,群賢里,1,1,20,20,2435,5300,2392,2908
大安區,群英里,1,1,35,35,2972,6562,2980,3582
大安區,虎嘯里,1,1,11,11,1700,3606,1601,2005
大安區,臥龍里,1,1,8,8,927,2280,1052,1228
大安區,龍淵里,1,1,31,31,3442,9301,4383,4918
大安區,龍門里,1,1,13,13,1592,4313,1981,2332
大安區,大學里,1,1,24,24,3574,8477,3920,4557
大安區,芳和里,1,1,20,20,2312,5247,2482,2765
大安區,黎元里,1,1,19,19,2109,5104,2489,2615
大安區,黎孝里,1,1,24,24,3042,7114,3311,3803
大安區,黎和里,1,1,16,16,2225,4646,2140,2506
大安區,建安里,1,1,20,20,2123,4511,1981,2530
大安區,建倫里,1,1,24,24,2382,5788,2555,3233
大安區,敦安里,1,1,21,21,2412,6047,2726,3321
大安區,正聲里,1,1,16,16,1846,4213,1925,2288
大安區,敦煌里,1,1,21,21,2362,5904,2652,3252
大安區,華聲里,1,1,18,18,1735,3938,1815,2123
大安區,車層里,1,1,26,26,2502,5898,2656,3242
大安區,光信里,1,1,30,30,2948,7144,3279,3865
大安區,學府里,1,1,17,17,856,2100,1022,1078
中山區,中山區,42,42,872,869,103468,211833,96747,115086
中山區,正守里,1,1,13,13,1508,3123,1483,1640
中山區,正義里,1,1,17,17,2989,5220,2226,2994
中山區,正得里,1,1,16,16,2276,3762,1626,2136
中山區,民安里,1,1,21,21,2202,4310,1975,2335
中山區,康樂里,1,1,16,16,1594,2608,1074,1534
中山區,中山里,1,1,26,26,4302,6937,2910,4027
中山區,聚盛里,1,1,17,16,2531,3990,1676,2314
中山區,集英里,1,1,24,24,3603,7040,3128,3912
中山區,聚葉里,1,1,19,18,2060,3757,1644,2113
中山區,恆安里,1,1,15,15,2937,5020,2177,2843
中山區,晴光里,1,1,15,15,3339,5696,2356,3340
中山區,圓山里,1,1,15,15,2011,3900,1739,2161
中山區,劍潭里,1,1,22,22,1437,3530,1685,1845
中山區,大直里,1,1,35,35,3397,8293,3892,4401
中山區,成功里,1,1,21,20,2856,6505,2968,3537
中山區,永安里,1,1,34,34,3946,9311,4236,5075
中山區,大佳里,1,1,8,8,303,727,391,336
中山區,新喜里,1,1,20,20,2098,4667,2164,2503
中山區,新庄里,1,1,21,21,2155,4521,2091,2430
中山區,新福里,1,1,20,20,2330,4748,2145,2603
中山區,松江里,1,1,23,23,2565,5990,2779,3211
中山區,新生里,1,1,22,22,2076,4099,1887,2212
中山區,中庄里,1,1,21,21,2368,4724,2214,2510
中山區,行政里,1,1,19,19,3852,6935,3532,3403
中山區,行仁里,1,1,31,31,2992,7267,3401,3866
中山區,行孝里,1,1,16,16,1847,4214,1977,2237
中山區,下埤里,1,1,21,21,3066,7011,3281,3730
中山區,江寧里,1,1,24,24,2895,6583,3072,3511
中山區,江山里,1,1,26,26,3116,7065,3291,3774
中山區,中吉里,1,1,24,24,2406,5402,2514,2888
中山區,中原里,1,1,18,18,2301,4700,2143,2557
中山區,興亞里,1,1,24,24,2706,5433,2427,3006
中山區,中央里,1,1,17,17,1698,3665,1697,1968
中山區,朱馥里,1,1,27,27,2468,5392,2461,2931
中山區,龍洲里,1,1,28,28,2136,4672,2112,2560
中山區,朱園里,1,1,23,23,2326,4474,2029,2445
