年,月,排名,隸屬區,里,鄰數,戶數,男,女,合計
115,3,108,板橋區,華德里,32,3141,3315,3642,6957
115,3,109,新莊區,裕民里,32,2781,3426,3524,6950
115,3,110,泰山區,山腳里,45,2694,3416,3504,6920
115,3,111,永和區,保安里,34,3114,3255,3637,6892
115,3,112,新莊區,中隆里,27,3086,3218,3672,6890
115,3,113,汐止區,湖興里,38,3292,3401,3466,6867
115,3,114,新莊區,建安里,34,2699,3254,3529,6783
115,3,115,五股區,成州里,27,2811,3377,3382,6759
115,3,116,蘆洲區,樓厝里　,24,2885,3258,3500,6758
115,3,117,土城區,清溪里,53,2817,3309,3444,6753
115,3,118,板橋區,廣德里,25,2859,3257,3480,6737
115,3,119,土城區,平和里,34,2545,3278,3446,6724
115,3,120,土城區,延和里,32,2822,3165,3554,6719
115,3,121,中和區,德行里,42,2988,3139,3551,6690
115,3,122,八里區,訊塘里,23,3286,3266,3387,6653
115,3,123,汐止區,湖光里,30,3427,3163,3484,6647
115,3,124,土城區,清和里,28,2705,3248,3360,6608
115,3,125,新店區,信義里,31,3348,3064,3419,6483
115,3,126,新莊區,福基里,17,3285,3178,3301,6479
115,3,127,汐止區,自強里,25,3005,3055,3401,6456
115,3,128,深坑區,埔新里,57,2857,3134,3305,6439
115,3,129,蘆洲區,永樂里　,27,2370,3202,3236,6438
115,3,130,汐止區,江北里,30,2929,3184,3219,6403
115,3,131,土城區,明德里,30,2881,2948,3447,6395
115,3,132,三峽區,礁溪里,37,2756,3105,3275,6380
115,3,133,中和區,秀景里,43,3144,2976,3384,6360
115,3,134,中和區,景福里,44,3315,2905,3453,6358
115,3,135,新莊區,中港里,28,2303,3046,3286,6332
115,3,136,淡水區,竹圍里,15,3290,2891,3435,6326
115,3,137,蘆洲區,中原里　,29,2520,3072,3215,6287
115,3,138,中和區,景平里,43,3350,2837,3444,6281
115,3,139,中和區,連城里,48,2808,2958,3318,6276
115,3,140,三重區,田安里,42,2670,2967,3276,6243
115,3,141,新莊區,福興里,17,2494,3111,3083,6194
115,3,142,三重區,光陽里,33,2781,3059,3113,6172
115,3,143,新莊區,中美里,24,2610,2931,3236,6167
115,3,144,淡水區,鄧公里,17,2883,2873,3292,6165
115,3,145,新莊區,榮和里,25,3819,3542,2616,6158
115,3,146,板橋區,宏翠里,21,3136,2893,3256,6149
115,3,147,板橋區,懷翠里,26,2494,2996,3129,6125
115,3,148,三重區,田中里,30,2453,2960,3159,6119
115,3,149,板橋區,埔墘里,23,2769,2866,3250,6116
115,3,150,中和區,力行里,45,2625,2887,3212,6099
115,3,151,新店區,中央里,20,2988,2807,3289,6096
115,3,152,新莊區,民安里,33,2276,2905,3165,6070
115,3,153,蘆洲區,恆德里　,21,2763,2891,3159,6050
115,3,154,蘆洲區,玉清里　,21,2559,2877,3164,6041
115,3,155,樹林區,保安里,34,2465,2983,3052,6035
115,3,156,板橋區,湳興里,25,3065,2854,3180,6034
115,3,157,土城區,頂福里,25,2543,2949,3076,6025
115,3,158,新店區,雙城里,29,2489,3037,2984,6021
115,3,159,汐止區,北山里,25,2989,2816,3204,6020
115,3,160,蘆洲區,南港里　,20,2220,2891,3109,6000
115,3,161,土城區,金城里,26,2523,2804,3173,5977
115,3,162,新店區,中正里,24,2673,2766,3207,5973
115,3,163,新店區,玫瑰里,28,2445,2855,3096,5951
115,3,164,板橋區,純翠里,16,2649,2802,3123,5925
115,3,165,新莊區,立基里,32,2429,2866,3045,5911
115,3,166,新店區,日興里,29,2502,2979,2930,5909
115,3,167,土城區,柑林里,21,2937,2830,3077,5907
115,3,168,三重區,福祉里,20,2818,2853,3048,5901
115,3,169,林口區,中湖里,17,2619,2914,2981,5895
115,3,170,淡水區,水碓里,20,2580,2815,3072,5887
115,3,171,淡水區,沙崙里,8,3092,2826,3059,5885
115,3,172,新店區,德安里,28,2387,2872,2959,5831
115,3,173,樹林區,東陽里,31,2334,2892,2937,5829
115,3,174,板橋區,港嘴里,25,2501,2859,2967,5826
115,3,175,土城區,員仁里,33,2295,2835,2970,5805
115,3,176,新莊區,立泰里,21,2519,2788,3001,5789
115,3,177,板橋區,溪洲里,21,2284,2809,2967,5776
115,3,178,板橋區,玉光里,21,2492,2738,3035,5773
115,3,179,汐止區,金龍里,41,2840,2799,2973,5772
115,3,180,汐止區,秀峰里,23,3083,3115,2650,5765
115,3,181,樹林區,山佳里,21,2118,2873,2884,5757
115,3,182,三重區,永豐里,32,2203,2774,2978,5752
115,3,183,中和區,安平里,43,2856,2679,3054,5733
115,3,184,土城區,大安里,25,2567,2792,2936,5728
115,3,185,三重區,永發里,27,2311,2832,2887,5719
115,3,186,新店區,新生里,26,2733,2633,3082,5715
115,3,187,林口區,林口里,29,2451,2832,2864,5696
115,3,188,樹林區,彭興里,41,2199,2871,2824,5695
115,3,189,汐止區,康福里,24,3134,2630,3059,5689
115,3,190,汐止區,新昌里,35,2615,2701,2974,5675
115,3,191,三重區,六福里,29,2216,2785,2879,5664
115,3,192,樹林區,彭福里,33,2313,2792,2857,5649
115,3,193,新店區,寶興里,24,2806,2619,3016,5635
115,3,194,淡水區,油車里,20,2684,2717,2899,5616
115,3,195,土城區,裕生里,39,2299,2704,2897,5601
115,3,196,鶯歌區,南鶯里,34,2289,2713,2880,5593
115,3,197,樹林區,中山里,25,2120,2830,2755,5585
115,3,198,新店區,永平里,17,2288,2692,2892,5584
115,3,199,新店區,青潭里,22,2569,2649,2931,5580
115,3,200,新店區,安昌里,17,2613,2565,3014,5579
115,3,201,汐止區,建成里,23,2621,2603,2951,5554
115,3,202,五股區,德音里,30,2343,2698,2846,5544
115,3,203,鶯歌區,中湖里,27,2146,2874,2640,5514
115,3,204,土城區,永富里,27,2265,2661,2848,5509
115,3,205,汐止區,茄苳里,27,2519,2743,2756,5499
115,3,206,土城區,員福里,28,2211,2723,2771,5494
115,3,207,蘆洲區,仁義里　,18,3008,3006,2485,5491
115,3,208,蘆洲區,鷺江里　,21,2227,2678,2804,5482
115,3,209,土城區,廣福里,33,2146,2661,2816,5477
115,3,210,土城區,頂埔里,31,2413,2655,2806,5461
115,3,211,蘆洲區,九芎里　,27,2076,2623,2832,5455
115,3,212,三芝區,埔頭里,42,2544,2706,2739,5445
115,3,213,汐止區,拱北里,31,2438,2778,2658,5436
115,3,214,中和區,錦和里,21,2126,2697,2737,5434
115,3,215,汐止區,東勢里,22,2856,2659,2765,5424
115,3,216,蘆洲區,仁德里　,20,2076,2676,2742,5418
115,3,217,金山區,金美里,35,2186,2573,2834,5407
115,3,218,土城區,埤塘里,17,3109,3123,2257,5380
115,3,219,中和區,碧河里,27,2499,2631,2747,5378
115,3,220,鶯歌區,鳳福里,29,2688,2622,2750,5372
115,3,221,新莊區,海山里,24,2294,2606,2752,5358
115,3,222,中和區,瓦磘里,29,2410,2575,2765,5340
115,3,223,新店區,江陵里,23,2437,2488,2849,5337
115,3,224,新莊區,思源里,22,2266,2560,2758,5318
115,3,225,新店區,員潭里,19,2442,2614,2703,5317
115,3,226,八里區,埤頭里,28,2485,2617,2673,5290
115,3,227,土城區,學士里,27,2297,2563,2719,5282
115,3,228,汐止區,崇德里,29,2319,2559,2715,5274
115,3,229,中和區,民安里,25,2201,2600,2657,5257
115,3,230,三重區,永清里,32,2049,2518,2735,5253
115,3,231,淡水區,正德里,14,2542,2405,2839,5244
115,3,232,蘆洲區,光華里　,19,2134,2478,2762,5240
115,3,233,新店區,美潭里,20,2290,2559,2681,5240
115,3,234,三重區,五華里,18,2237,2487,2752,5239
115,3,235,汐止區,北峰里,26,2449,2590,2626,5216
115,3,236,蘆洲區,永安里　,19,2002,2484,2726,5210
115,3,237,樹林區,東昇里,28,2073,2533,2673,5206
115,3,238,蘆洲區,仁愛里　,19,2034,2538,2667,5205
115,3,239,中和區,秀明里,56,2742,2395,2807,5202
115,3,240,板橋區,福丘里,19,2455,2389,2810,5199
115,3,241,永和區,福和里,23,2404,2414,2771,5185
115,3,242,土城區,安和里,28,2096,2564,2621,5185
115,3,243,三峽區,中正里,34,1906,2584,2595,5179
115,3,244,新店區,寶安里,39,2709,2344,2835,5179
115,3,245,永和區,豫溪里,17,3038,2661,2511,5172
115,3,246,板橋區,江翠里,20,2319,2503,2669,5172
115,3,247,三重區,慈祐里,26,2075,2524,2645,5169
115,3,248,新莊區,忠孝里,29,2385,2494,2659,5153
115,3,249,新莊區,自立里,26,2254,2468,2683,5151
115,3,250,三重區,大有里,25,2181,2569,2576,5145
115,3,251,新莊區,信義里,25,2121,2414,2729,5143
115,3,252,板橋區,福德里,28,2120,2519,2624,5143
115,3,253,淡水區,民權里,17,2678,2364,2763,5127
115,3,254,蘆洲區,長安里　,19,1953,2536,2586,5122
115,3,255,樹林區,樹西里,32,2118,2515,2598,5113
115,3,256,泰山區,貴和里,42,2194,2482,2629,5111
115,3,257,三重區,永福里,30,2102,2452,2658,5110
115,3,258,新莊區,南港里,22,2109,2490,2610,5100
115,3,259,樹林區,潭底里,33,2499,2768,2318,5086
115,3,260,中和區,南山里,38,2319,2448,2635,5083
115,3,261,板橋區,聚安里,28,2027,2469,2581,5050
115,3,262,板橋區,華中里,20,2028,2509,2540,5049
115,3,263,樹林區,文林里,36,1968,2430,2608,5038
115,3,264,土城區,貨饒里,22,2220,2429,2594,5023
115,3,265,板橋區,民族里,20,1982,2419,2599,5018
115,3,266,土城區,沛陂里,21,2126,2496,2520,5016
115,3,267,中和區,華南里,24,2183,2475,2529,5004
115,3,268,新莊區,瓊林里,20,1912,2514,2490,5004
115,3,269,永和區,保平里,25,2198,2412,2583,4995
115,3,270,淡水區,學府里,18,2638,2344,2643,4987
115,3,271,新莊區,成德里,23,1927,2383,2584,4967
115,3,272,汐止區,白雲里,26,2325,2434,2531,4965
115,3,273,淡水區,新民里,12,2316,2346,2615,4961
115,3,274,新莊區,光明里,21,1811,2404,2548,4952
115,3,275,中和區,秀福里,36,2273,2346,2602,4948
115,3,276,汐止區,秀山里,26,2132,2411,2536,4947
115,3,277,汐止區,文化里,21,2227,2359,2587,4946
115,3,278,樹林區,獇寮里,27,1918,2473,2456,4929
115,3,279,中和區,佳和里,40,2379,2287,2629,4916
115,3,280,中和區,復興里,55,2118,2233,2681,4914
115,3,281,鶯歌區,永吉里,32,1779,2437,2475,4912
115,3,282,汐止區,保長里,22,2342,2386,2525,4911
115,3,283,中和區,文元里,35,2080,2397,2507,4904
115,3,284,土城區,員信里,25,2015,2373,2531,4904
115,3,285,永和區,秀和里,21,2138,2348,2554,4902
115,3,286,新店區,永安里,25,2079,2361,2539,4900
115,3,287,樹林區,彭厝里,40,1785,2417,2473,4890
115,3,288,中和區,福祥里,38,2203,2362,2528,4890
115,3,289,永和區,中溪里,21,2157,2377,2506,4883
115,3,290,中和區,秀峰里,47,2575,2246,2631,4877
115,3,291,泰山區,義學里,27,1938,2368,2498,4866
115,3,292,板橋區,龍翠里,20,2084,2353,2511,4864
115,3,293,中和區,自強里,25,1979,2394,2466,4860
115,3,294,汐止區,智慧里,24,2553,2245,2613,4858
115,3,295,鶯歌區,大湖里,24,1999,2453,2389,4842
115,3,296,板橋區,自強里,35,2115,2318,2514,4832
115,3,297,汐止區,城中里,28,2171,2240,2584,4824
115,3,298,土城區,樂利里,36,2031,2311,2493,4804
115,3,299,蘆洲區,光明里　,23,1873,2315,2479,4794
115,3,300,永和區,潭安里,20,2119,2250,2508,4758
115,3,301,土城區,廷寮里,23,1800,2340,2411,4751
115,3,302,三重區,永德里,34,1957,2308,2440,4748
115,3,303,中和區,內南里,39,1893,2370,2367,4737
115,3,304,新莊區,立言里,24,1927,2247,2488,4735
115,3,305,三重區,永順里,36,1890,2238,2489,4727
115,3,306,永和區,和平里,24,2121,2191,2531,4722
115,3,307,永和區,民族里,22,1951,2194,2521,4715
115,3,308,新莊區,全泰里,27,1953,2266,2442,4708
115,3,309,中和區,景安里,44,2210,2236,2461,4697
115,3,310,新店區,吉祥里,24,1908,2239,2448,4687
115,3,311,永和區,永元里,21,1967,2165,2511,4676
115,3,312,新莊區,四維里,22,1948,2207,2438,4645
115,3,313,樹林區,三興里,31,1869,2356,2276,4632
115,3,314,新莊區,和平里,21,1851,2240,2377,4617
115,3,315,新莊區,光正里,22,1701,2288,2311,4599
115,3,316,鶯歌區,北鶯里,20,2230,2312,2279,4591
115,3,317,板橋區,埤墘里,17,1863,2181,2405,4586
115,3,318,中和區,壽德里,31,1906,2151,2429,4580
115,3,319,永和區,下溪里,15,2090,2185,2373,4558
115,3,320,永和區,潭墘里,25,2037,2084,2473,4557
115,3,321,新店區,中華里,21,2164,2144,2409,4553
115,3,322,汐止區,橫科里,42,2195,2219,2324,4543
115,3,323,三重區,仁華里,27,1952,2199,2343,4542
115,3,324,土城區,日新里,27,1799,2203,2339,4542
115,3,325,永和區,民樂里,22,1985,2157,2385,4542
115,3,326,三重區,福隆里,19,1904,2188,2349,4537
115,3,327,板橋區,長安里,19,1727,2136,2392,4528
115,3,328,板橋區,港德里,29,1969,2196,2330,4526
115,3,329,五股區,興珍里,40,1784,2301,2222,4523
115,3,330,新莊區,光榮里,20,1655,2204,2318,4522
115,3,331,五股區,德泰里,22,1857,2207,2307,4514
115,3,332,板橋區,明翠里,22,1971,2144,2343,4487
115,3,333,蘆洲區,永德里　,20,1706,2177,2299,4476
115,3,334,板橋區,東丘里,20,1737,2154,2321,4475
115,3,335,新莊區,合鳳里,25,1779,2171,2301,4472
115,3,336,萬里區,萬里里,35,1532,2202,2265,4467
115,3,337,板橋區,香社里,21,1880,2177,2285,4462
115,3,338,三重區,福德里,20,2195,2108,2352,4460
115,3,339,樹林區,金寮里,24,1734,2199,2256,4455
115,3,340,三重區,中興里,37,2185,2196,2258,4454
115,3,341,板橋區,漢生里,22,1857,2111,2343,4454
115,3,342,中和區,忠孝里,39,1884,2156,2295,4451
115,3,343,樹林區,圳福里,27,1693,2196,2255,4451
115,3,344,新莊區,全安里,22,1883,2113,2336,4449
115,3,345,中和區,德穗里,32,1916,2114,2321,4435
115,3,346,三重區,光田里,27,2154,2129,2304,4433
115,3,347,三重區,幸福里,36,1985,2149,2276,4425
115,3,348,土城區,永豐里,27,1739,2156,2267,4423
115,3,349,中和區,和興里,42,2097,2083,2339,4422
115,3,350,永和區,民權里,26,1784,2068,2329,4397
115,3,351,板橋區,和平里,16,1941,2025,2371,4396
115,3,352,泰山區,同榮里,30,1799,2146,2250,4396
115,3,353,中和區,安穗里,19,1910,2111,2284,4395
115,3,354,板橋區,大豐里,22,1812,2110,2265,4375
115,3,355,五股區,集賢里,22,1713,2170,2205,4375
115,3,356,新莊區,恆安里,24,1753,2110,2265,4375
115,3,357,新莊區,昌隆里,15,1813,2062,2310,4372
115,3,358,中和區,秀山里,31,1865,2081,2279,4360
115,3,359,泰山區,楓樹里,28,1791,2180,2178,4358
115,3,360,板橋區,莊敬里,17,1781,2063,2282,4345
115,3,361,三重區,博愛里,22,1715,2129,2216,4345
115,3,362,中和區,廟美里,40,1889,2073,2259,4332
115,3,363,土城區,延壽里,27,1785,2141,2181,4322
115,3,364,新莊區,中和里,30,1730,2093,2222,4315
115,3,365,中和區,中安里,40,2279,1962,2345,4307
115,3,366,永和區,店街里,19,2081,1934,2370,4304
115,3,367,新店區,達觀里,21,2263,1982,2317,4299
115,3,368,中和區,明穗里,33,1721,2136,2153,4289
115,3,369,中和區,崇南里,41,2115,2002,2285,4287
115,3,370,土城區,青雲里,21,1941,2057,2229,4286
115,3,371,金山區,美田里,25,1655,2023,2250,4273
115,3,372,鶯歌區,鳳祥里,33,1714,2168,2099,4267
115,3,373,板橋區,忠誠里,17,1818,2020,2247,4267
115,3,374,三重區,民生里,28,1871,2082,2174,4256
115,3,375,林口區,菁湖里,23,1748,2103,2136,4239
115,3,376,板橋區,新民里,26,1706,2028,2207,4235
115,3,377,中和區,安順里,34,2017,1964,2266,4230
115,3,378,中和區,福善里,42,2026,1977,2252,4229
115,3,379,永和區,永安里,24,1926,1933,2292,4225
115,3,380,板橋區,福祿里,19,1813,1979,2242,4221
115,3,381,土城區,復興里,34,1756,2072,2148,4220
115,3,382,新莊區,中泰里,22,1816,2065,2155,4220
115,3,383,新店區,新安里,25,2254,1896,2319,4215
115,3,384,三重區,清和里,20,2164,1983,2222,4205
115,3,385,蘆洲區,保新里　,12,1731,2017,2179,4196
115,3,386,蘆洲區,延平里　,17,1680,2072,2120,4192
115,3,387,林口區,麗園里,19,1619,2041,2147,4188
115,3,388,板橋區,信義里,21,1819,2038,2146,4184
115,3,389,新莊區,思賢里,21,1687,2043,2129,4172
115,3,390,永和區,秀林里,20,1828,2015,2152,4167
115,3,391,新店區,福民里,25,1974,1927,2238,4165
115,3,392,中和區,錦中里,22,1694,2013,2149,4162
115,3,393,板橋區,華興里,18,1773,1962,2199,4161
115,3,394,板橋區,堂春里,19,1561,2055,2105,4160
115,3,395,中和區,福美里,35,1758,2023,2135,4158
115,3,396,三峽區,八張里,20,1698,2027,2129,4156
115,3,397,中和區,民生里,30,1852,1970,2180,4150
115,3,398,泰山區,貴子里,29,1808,2029,2115,4144
115,3,399,淡水區,新義里,14,1707,2018,2122,4140
115,3,400,新莊區,化成里,15,1886,2056,2083,4139
115,3,401,中和區,東南里,32,1865,1995,2141,4136
115,3,402,板橋區,振興里,17,1746,1993,2143,4136
115,3,403,永和區,民本里,17,1703,1924,2210,4134
115,3,404,板橋區,雙玉里,18,1615,2028,2094,4122
115,3,405,樹林區,樹南里,29,1641,2035,2078,4113
115,3,406,板橋區,後埔里,17,1888,1975,2138,4113
115,3,407,中和區,嘉慶里,24,1726,2025,2080,4105
115,3,408,土城區,延吉里,22,1639,2032,2072,4104
115,3,409,永和區,得和里,25,1851,1905,2186,4091
115,3,410,板橋區,新生里,24,1619,2033,2052,4085
115,3,411,新莊區,幸福里,30,1649,1930,2148,4078
115,3,412,板橋區,五權里,19,1661,2011,2066,4077
115,3,413,八里區,米倉里,24,1937,2044,2029,4073
115,3,414,五股區,集福里,26,1703,2014,2058,4072
115,3,415,汐止區,橋東里,20,1856,1908,2160,4068
115,3,416,土城區,延祿里,21,1631,2030,2038,4068
115,3,417,三峽區,中埔里,15,1698,1993,2073,4066
115,3,418,中和區,福南里,29,1654,1964,2102,4066
115,3,419,板橋區,僑中里,16,1614,2031,2032,4063
115,3,420,中和區,景文里,29,1966,1945,2109,4054
115,3,421,三重區,重明里,19,1934,1923,2123,4046
115,3,422,新店區,新和里,23,1839,1892,2148,4040
115,3,423,八里區,大崁里,17,1764,2063,1963,4026
115,3,424,三重區,永安里,20,1600,1960,2063,4023
115,3,425,中和區,信和里,41,1656,1971,2034,4005
115,3,426,樹林區,光興里,21,1533,1989,2012,4001
115,3,427,蘆洲區,中路里　,17,1592,1972,2021,3993
115,3,428,新莊區,民有里,20,1660,1894,2095,3989
115,3,429,淡水區,中興里,18,1942,1940,2047,3987
115,3,430,中和區,福真里,43,1838,1941,2044,3985
115,3,431,板橋區,振義里,19,1698,1905,2072,3977
115,3,432,三峽區,大埔里,22,1563,2150,1827,3977
115,3,433,五股區,成德里,23,1758,1979,1994,3973
115,3,434,蘆洲區,信義里　,27,1523,1969,1998,3967
115,3,435,三重區,田心里,32,1735,1942,2010,3952
115,3,436,汐止區,福山里,18,1986,1883,2063,3946
115,3,437,板橋區,居仁里,17,1661,1932,2008,3940
115,3,438,中和區,漳和里,36,1905,1880,2057,3937
115,3,439,五股區,六福里,23,1638,1909,2021,3930
115,3,440,板橋區,永安里,17,1585,1888,2036,3924
115,3,441,樹林區,三多里,21,1540,1971,1947,3918
115,3,442,三重區,五福里,17,1754,1899,2016,3915
115,3,443,永和區,雙和里,17,1784,1758,2156,3914
115,3,444,中和區,嘉新里,22,1533,1909,1987,3896
115,3,445,板橋區,公舘里,21,1626,1920,1972,3892
115,3,446,中和區,明德里,28,1604,1875,2013,3888
115,3,447,三重區,五順里,35,1578,1906,1971,3877
115,3,448,新店區,明德里,27,1849,1800,2076,3876
115,3,449,板橋區,幸福里,19,1666,1902,1968,3870
115,3,450,永和區,秀朗里,23,1669,1877,1989,3866
115,3,451,泰山區,同興里,24,1526,1888,1969,3857
115,3,452,樹林區,三福里,32,1562,1911,1943,3854
115,3,453,板橋區,大安里,24,1552,1924,1929,3853
115,3,454,新莊區,富民里,21,1618,1847,1999,3846
115,3,455,板橋區,廣福里,12,1588,1860,1965,3825
115,3,456,三重區,崇德里,32,1625,1914,1903,3817
115,3,457,新莊區,昌信里,17,1551,1828,1986,3814
115,3,458,板橋區,文聖里,17,1453,1842,1969,3811
115,3,459,新莊區,民全里,17,1470,1884,1925,3809
115,3,460,林口區,東林里,27,1527,1924,1879,3803
115,3,461,新店區,大同里,26,1872,1804,1998,3802
115,3,462,永和區,民生里,22,1519,1801,1999,3800
115,3,463,泰山區,明志里,24,1559,1866,1933,3799
115,3,464,瑞芳區,爪峯里,14,1617,1884,1914,3798
115,3,465,永和區,水源里,21,1666,1795,1997,3792
115,3,466,泰山區,貴賢里,27,1638,1826,1960,3786
115,3,467,中和區,仁和里,42,1557,1854,1928,3782
115,3,468,中和區,錦盛里,26,1547,1844,1935,3779
115,3,469,永和區,安和里,18,1801,1709,2058,3767
115,3,470,新店區,小城里,18,1522,1836,1926,3762
115,3,471,新店區,百福里,24,1785,1731,2025,3756
115,3,472,中和區,中正里,34,1576,1787,1966,3753
115,3,473,中和區,員富里,23,1636,1880,1872,3752
