起站,迄站,乘車時間,轉運站
G14,O20,26,"O11"
R11,Y08,26,"Y07"
G14,Y08,26,"Y07"
R11,Y09,28,"Y07"
G14,Y09,28,"Y07"
R11,Y10,27,"O05,Y11"
G14,Y10,27,"O05,Y11"
R11,Y12,29,"O05,Y11"
G14,Y12,29,"O05,Y11"
R11,Y13,31,"O05,Y11"
G14,Y13,31,"O05,Y11"
R11,Y14,31,"BL11,Y17"
G14,Y14,31,"BL11,Y17"
R11,Y15,29,"BL11,Y17"
G14,Y15,29,"BL11,Y17"
R11,Y16,27,"BL11"
G14,Y16,27,"BL11"
R11,Y17,23,"BL11"
G14,Y17,23,"BL11"
R11,Y19,26,"O11,Y18"
G14,Y19,26,"O11,Y18"
R11,Y20,29,"O11,Y18"
G14,Y20,29,"O11,Y18"
R11,G14,0,""
R12,R13,1,""
R12,O11,1,""
R12,R14,4,""
R12,R15,6,""
R12,R16,8,""
R12,R17,10,""
R12,R18,12,""
R12,R19,13,""
R12,R20,15,""
R12,R21,17,""
R12,R22,19,""
R12,R22A,24,""
R12,R23,21,""
R12,R24,24,""
R12,R25,26,""
R12,R26,28,""
R12,R27,31,""
R12,R28,34,""
R12,BL01,33,"BL12"
R12,BL02,30,"BL12"
R12,BL03,28,"BL12"
R12,BL04,26,"BL12"
R12,BL05,23,"BL12"
R12,BL06,21,"BL12"
R12,BL07,19,"BL12"
R12,BL08,17,"BL12"
R12,BL09,15,"BL12"
R12,BL10,12,"BL12"
R12,G12,8,"G14"
R12,BL11,8,"G14"
R12,BL13,8,"BL12"
R12,O07,10,"BL12"
R12,BL14,10,"BL12"
R12,BL16,14,"BL12"
R12,BL17,16,"BL12"
R12,BL18,17,"BL12"
R12,BL19,19,"BL12"
R12,BL20,21,"BL12"
R12,BL21,23,"BL12"
R12,BL22,25,"BL12"
R12,R02,20,""
R12,R03,18,""
R12,R04,16,""
R12,R06,12,""
R12,G13,6,"G14"
R12,G17,10,"G14"
R12,G18,13,"G14"
R12,G19,15,"G14"
R12,O19,22,"O11"
R12,O18,19,"O11"
R12,O17,17,"O11"
R12,Y18,17,"O11"
R12,O16,15,"O11"
R12,O15,12,"O11"
R12,O14,10,"O11"
R12,O13,8,"O11"
R12,O12,6,"O11"
R12,O10,6,"O11"
R12,O09,8,"O11"
R12,G15,6,"G14"
R12,O08,6,"G14"
R12,R07,10,""
R12,O06,10,""
R12,O54,17,"O11"
R12,O53,15,"O11"
R12,O52,13,"O11"
R12,O51,11,"O11"
R12,O50,9,"O11"
R12,O21,27,"O11"
R12,O20,24,"O11"
R12,Y08,26,"G10,Y07"
R12,Y09,28,"G10,Y07"
R12,Y10,31,"O06,Y11"
R12,Y12,33,"O06,Y11"
R12,Y13,35,"O06,Y11"
R12,Y14,35,"BL12,Y17"
R12,Y15,32,"BL12,Y17"
R12,Y16,30,"BL12"
R12,Y17,26,"BL12"
R12,Y19,25,"O11,Y18"
R12,Y20,27,"O11,Y18"
R13,R14,2,""
O11,R14,2,""
R13,R15,4,""
O11,R15,4,""
R13,R16,6,""
O11,R16,6,""
R13,R17,8,""
O11,R17,8,""
R13,R18,10,""
O11,R18,10,""
R13,R19,12,""
O11,R19,12,""
R13,R20,14,""
O11,R20,14,""
R13,R21,15,""
O11,R21,15,""
R13,R22,17,""
O11,R22,17,""
R13,R22A,23,""
O11,R22A,23,""
R13,R23,20,""
O11,R23,20,""
R13,R24,22,""
O11,R24,22,""
R13,R25,24,""
O11,R25,24,""
R13,R26,27,""
O11,R26,27,""
R13,R27,30,""
O11,R27,30,""
R13,R28,33,""
O11,R28,33,""
R13,BL01,35,"BL12"
O11,BL01,35,"BL12"
R13,BL02,31,"BL12"
O11,BL02,31,"BL12"
R13,BL03,29,"BL12"
O11,BL03,29,"BL12"
R13,BL04,27,"BL12"
O11,BL04,27,"BL12"
R13,BL05,24,"BL12"
O11,BL05,24,"BL12"
R13,BL06,22,"BL12"
O11,BL06,22,"BL12"
R13,BL07,21,"BL12"
O11,BL07,21,"BL12"
R13,BL08,18,"BL12"
O11,BL08,18,"BL12"
R13,BL09,17,"BL12"
O11,BL09,17,"BL12"
R13,BL10,13,"BL12"
O11,BL10,13,"BL12"
R13,G12,10,"G14"
R13,BL11,10,"G14"
O11,G12,10,"G14"
O11,BL11,10,"G14"
R13,BL13,10,"BL12"
O11,BL13,10,"BL12"
R13,O07,8,""
R13,BL14,8,""
O11,O07,8,""
O11,BL14,8,""
R13,BL16,13,"BL14"
O11,BL16,13,"BL14"
R13,BL17,15,"BL14"
O11,BL17,15,"BL14"
R13,BL18,16,"BL14"
O11,BL18,16,"BL14"
R13,BL19,18,"BL14"
O11,BL19,18,"BL14"
R13,BL20,20,"BL14"
O11,BL20,20,"BL14"
R13,BL21,22,"BL14"
O11,BL21,22,"BL14"
R13,BL22,25,"BL14"
O11,BL22,25,"BL14"
R13,R02,21,""
O11,R02,21,""
R13,R03,19,""
O11,R03,19,""
R13,R04,17,""
O11,R04,17,""
R13,R06,13,""
O11,R06,13,""
R13,G13,8,"G14"
O11,G13,8,"G14"
R13,G17,11,"G15"
O11,G17,11,"G15"
R13,G18,13,"G15"
O11,G18,13,"G15"
R13,G19,16,"G15"
O11,G19,16,"G15"
R13,O19,18,""
O11,O19,18,""
R13,O18,15,""
O11,O18,15,""
R13,O17,13,""
R13,Y18,13,""
O11,O17,13,""
O11,Y18,13,""
R13,O16,11,""
O11,O16,11,""
R13,O15,8,""
O11,O15,8,""
R13,O14,6,""
O11,O14,6,""
R13,O13,4,""
O11,O13,4,""
R13,O12,2,""
O11,O12,2,""
R13,O10,2,""
O11,O10,2,""
R13,O09,4,""
O11,O09,4,""
R13,G15,6,""
R13,O08,6,""
O11,G15,6,""
O11,O08,6,""
R13,R07,11,""
R13,O06,11,""
O11,R07,11,""
O11,O06,11,""
R13,O54,13,""
O11,O54,13,""
R13,O53,11,""
O11,O53,11,""
R13,O52,9,""
O11,O52,9,""
R13,O51,7,""
O11,O51,7,""
R13,O50,5,""
O11,O50,5,""
R13,O21,23,""
O11,O21,23,""
R13,O20,20,""
O11,O20,20,""
R13,Y08,27,"G10,Y07"
O11,Y08,27,"G10,Y07"
R13,Y09,32,"Y11"
O11,Y09,32,"Y11"
R13,Y10,30,"Y11"
O11,Y10,30,"Y11"
R13,Y12,32,"Y11"
O11,Y12,32,"Y11"
R13,Y13,34,"Y11"
O11,Y13,34,"Y11"
R13,Y14,31,"Y18"
O11,Y14,31,"Y18"
R13,Y15,28,"Y18"
O11,Y15,28,"Y18"
R13,Y16,25,"Y18"
O11,Y16,25,"Y18"
R13,Y17,21,"Y18"
O11,Y17,21,"Y18"
R13,Y19,21,"Y18"
O11,Y19,21,"Y18"
R13,Y20,23,"Y18"
O11,Y20,23,"Y18"
R13,O11,0,""
R14,R15,2,""
R14,R16,4,""
R14,R17,6,""
R14,R18,8,""
R14,R19,10,""
R14,R20,12,""
R14,R21,13,""
R14,R22,15,""
R14,R22A,21,""
R14,R23,18,""
R14,R24,20,""
R14,R25,22,""
R14,R26,25,""
R14,R27,28,""
R14,R28,31,""
R14,BL01,37,"BL12"
R14,BL02,33,"BL12"
R14,BL03,31,"BL12"
R14,BL04,29,"BL12"
R14,BL05,26,"BL12"
R14,BL06,24,"BL12"
R14,BL07,23,"BL12"
R14,BL08,20,"BL12"
R14,BL09,19,"BL12"
R14,BL10,15,"BL12"
R14,G12,12,"G14"
R14,BL11,12,"G14"
R14,BL13,12,"BL12"
R14,O07,12,"O11"
R14,BL14,12,"O11"
R14,BL16,17,"BL12"
R14,BL17,19,"BL12"
R14,BL18,21,"BL12"
R14,BL19,23,"BL12"
R14,BL20,24,"BL12"
R14,BL21,27,"BL12"
R14,BL22,29,"BL12"
R14,R02,23,""
R14,R03,21,""
R14,R04,19,""
R14,R06,16,""
R14,G13,10,"G14"
R14,G17,14,"G14"
R14,G18,16,"G14"
R14,G19,19,"G14"
R14,O19,22,"O11"
R14,O18,20,"O11"
R14,O17,18,"O11"
R14,Y18,18,"O11"
R14,O16,15,"O11"
R14,O15,13,"O11"
R14,O14,11,"O11"
R14,O13,9,"O11"
R14,O12,6,"O11"
R14,O10,6,"O11"
R14,O09,8,"O11"
R14,G15,10,"G14"
R14,O08,10,"G14"
R14,R07,14,""
R14,O06,14,""
R14,O54,17,"O11"
R14,O53,15,"O11"
R14,O52,13,"O11"
R14,O51,11,"O11"
R14,O50,9,"O11"
R14,O21,28,"O11"
R14,O20,25,"O11"
R14,Y08,29,"G10,Y07"
R14,Y09,32,"G10,Y07"
R14,Y10,34,"O06,Y11"
R14,Y12,36,"O06,Y11"
R14,Y13,38,"O06,Y11"
R14,Y14,35,"O11,Y18"
R14,Y15,33,"O11,Y18"
R14,Y16,30,"O11,Y18"
R14,Y17,26,"O11,Y18"
R14,Y19,25,"O11,Y18"
R14,Y20,28,"O11,Y18"
R15,R16,2,""
R15,R17,4,""
R15,R18,6,""
R15,R19,7,""
R15,R20,9,""
R15,R21,11,""
R15,R22,13,""
R15,R22A,19,""
R15,R23,16,""
R15,R24,18,""
R15,R25,20,""
R15,R26,23,""
R15,R27,25,""
R15,R28,29,""
R15,BL01,39,"BL12"
R15,BL02,36,"BL12"
R15,BL03,34,"BL12"
R15,BL04,32,"BL12"
R15,BL05,29,"BL12"
R15,BL06,27,"BL12"
R15,BL07,25,"BL12"
R15,BL08,23,"BL12"
R15,BL09,21,"BL12"
R15,BL10,17,"BL12"
R15,G12,14,"G14"
R15,BL11,14,"G14"
R15,BL13,14,"BL12"
R15,O07,15,"O11"
R15,BL14,15,"O11"
R15,BL16,20,"BL12"
R15,BL17,21,"BL12"
R15,BL18,23,"BL12"
R15,BL19,25,"BL12"
R15,BL20,27,"BL12"
R15,BL21,29,"BL12"
R15,BL22,31,"BL12"
R15,R02,26,""
R15,R03,24,""
R15,R04,22,""
R15,R06,18,""
R15,G13,12,"G14"
R15,G17,16,"G14"
R15,G18,18,"G14"
R15,G19,21,"G14"
R15,O19,25,"O11"
R15,O18,22,"O11"
R15,O17,20,"O11"
R15,Y18,20,"O11"
R15,O16,18,"O11"
R15,O15,15,"O11"
R15,O14,13,"O11"
R15,O13,11,"O11"
R15,O12,8,"O11"
R15,O10,8,"O11"
R15,O09,11,"O11"
R15,G15,12,"G14"
R15,O08,12,"G14"
R15,R07,16,""
R15,O06,16,""
R15,O54,20,"O11"
R15,O53,17,"O11"
R15,O52,15,"O11"
R15,O51,14,"O11"
R15,O50,11,"O11"
R15,O21,30,"O11"
R15,O20,27,"O11"
R15,Y08,32,"G10,Y07"
R15,Y09,34,"G10,Y07"
R15,Y10,37,"O06,Y11"
R15,Y12,39,"O06,Y11"
R15,Y13,41,"O06,Y11"
R15,Y14,37,"O11,Y18"
R15,Y15,35,"O11,Y18"
R15,Y16,32,"O11,Y18"
R15,Y17,28,"O11,Y18"
R15,Y19,27,"O11,Y18"
R15,Y20,30,"O11,Y18"
R16,R17,2,""
R16,R18,4,""
R16,R19,5,""
R16,R20,7,""
R16,R21,9,""
R16,R22,11,""
R16,R22A,17,""
R16,R23,14,""
R16,R24,16,""
R16,R25,18,""
R16,R26,21,""
R16,R27,23,""
R16,R28,27,""
R16,BL01,41,"BL12"
R16,BL02,38,"BL12"
R16,BL03,36,"BL12"
R16,BL04,34,"BL12"
R16,BL05,31,"BL12"
R16,BL06,29,"BL12"
R16,BL07,27,"BL12"
R16,BL08,25,"BL12"
R16,BL09,23,"BL12"
R16,BL10,19,"BL12"
R16,G12,16,"G14"
R16,BL11,16,"G14"
R16,BL13,16,"BL12"
R16,O07,17,"O11"
R16,BL14,17,"O11"
R16,BL16,22,"BL12"
R16,BL17,23,"BL12"
R16,BL18,25,"BL12"
R16,BL19,27,"BL12"
R16,BL20,29,"BL12"
R16,BL21,31,"BL12"
R16,BL22,33,"BL12"
R16,R02,28,""
R16,R03,26,""
R16,R04,24,""
R16,R06,20,""
R16,G13,14,"G14"
R16,G17,18,"G14"
R16,G18,20,"G14"
R16,G19,23,"G14"
R16,O19,27,"O11"
R16,O18,24,"O11"
R16,O17,22,"O11"
R16,Y18,22,"O11"
R16,O16,20,"O11"
R16,O15,17,"O11"
R16,O14,15,"O11"
R16,O13,13,"O11"
R16,O12,10,"O11"
R16,O10,10,"O11"
R16,O09,13,"O11"
R16,G15,14,"G14"
R16,O08,14,"G14"
R16,R07,18,""
R16,O06,18,""
R16,O54,22,"O11"
R16,O53,19,"O11"
R16,O52,17,"O11"
R16,O51,16,"O11"
R16,O50,13,"O11"
R16,O21,32,"O11"
R16,O20,29,"O11"
R16,Y08,34,"G10,Y07"
R16,Y09,36,"G10,Y07"
R16,Y10,39,"O06,Y11"
R16,Y12,41,"O06,Y11"
R16,Y13,43,"O06,Y11"
R16,Y14,39,"O11,Y18"
R16,Y15,37,"O11,Y18"
R16,Y16,34,"O11,Y18"
R16,Y17,30,"O11,Y18"
R16,Y19,29,"O11,Y18"
R16,Y20,32,"O11,Y18"
R17,R18,2,""
R17,R19,3,""
R17,R20,5,""
R17,R21,7,""
R17,R22,9,""
R17,R22A,15,""
R17,R23,12,""
R17,R24,14,""
R17,R25,16,""
R17,R26,19,""
R17,R27,21,""
R17,R28,25,""
R17,BL01,43,"BL12"
R17,BL02,40,"BL12"
R17,BL03,38,"BL12"
R17,BL04,36,"BL12"
R17,BL05,33,"BL12"
R17,BL06,31,"BL12"
R17,BL07,29,"BL12"
R17,BL08,27,"BL12"
R17,BL09,25,"BL12"
R17,BL10,21,"BL12"
R17,G12,18,"G14"
R17,BL11,18,"G14"
R17,BL13,18,"BL12"
R17,O07,19,"O11"
R17,BL14,19,"O11"
R17,BL16,24,"BL12"
R17,BL17,25,"BL12"
R17,BL18,27,"BL12"
R17,BL19,29,"BL12"
R17,BL20,31,"BL12"
R17,BL21,33,"BL12"
R17,BL22,35,"BL12"
R17,R02,30,""
R17,R03,28,""
R17,R04,26,""
R17,R06,22,""
R17,G13,16,"G14"
R17,G17,20,"G14"
R17,G18,22,"G14"
R17,G19,25,"G14"
R17,O19,29,"O11"
R17,O18,26,"O11"
R17,O17,24,"O11"
R17,Y18,24,"O11"
R17,O16,22,"O11"
R17,O15,19,"O11"
R17,O14,17,"O11"
R17,O13,15,"O11"
R17,O12,12,"O11"
R17,O10,12,"O11"
R17,O09,15,"O11"
R17,G15,16,"G14"
R17,O08,16,"G14"
R17,R07,20,""
R17,O06,20,""
R17,O54,24,"O11"
R17,O53,21,"O11"
R17,O52,19,"O11"
R17,O51,18,"O11"
R17,O50,15,"O11"
R17,O21,34,"O11"
R17,O20,31,"O11"
R17,Y08,36,"G10,Y07"
R17,Y09,38,"G10,Y07"
R17,Y10,41,"O06,Y11"
R17,Y12,43,"O06,Y11"
R17,Y13,45,"O06,Y11"
R17,Y14,41,"O11,Y18"
R17,Y15,39,"O11,Y18"
R17,Y16,36,"O11,Y18"
R17,Y17,32,"O11,Y18"
R17,Y19,31,"O11,Y18"
R17,Y20,34,"O11,Y18"
R18,R19,2,""
R18,R20,4,""
R18,R21,5,""
R18,R22,7,""
R18,R22A,13,""
R18,R23,10,""
R18,R24,12,""
R18,R25,14,""
R18,R26,17,""
R18,R27,20,""
R18,R28,23,""
R18,BL01,45,"BL12"
R18,BL02,42,"BL12"
R18,BL03,40,"BL12"
R18,BL04,37,"BL12"
R18,BL05,35,"BL12"
R18,BL06,32,"BL12"
R18,BL07,31,"BL12"
R18,BL08,29,"BL12"
R18,BL09,27,"BL12"
R18,BL10,23,"BL12"
R18,G12,20,"G14"
R18,BL11,20,"G14"
R18,BL13,20,"BL12"
R18,O07,20,"O11"
R18,BL14,20,"O11"
R18,BL16,25,"BL12"
R18,BL17,27,"BL12"
R18,BL18,29,"BL12"
R18,BL19,31,"BL12"
R18,BL20,32,"BL12"
R18,BL21,35,"BL12"
R18,BL22,37,"BL12"
R18,R02,31,""
R18,R03,29,""
R18,R04,27,""
R18,R06,24,""
R18,G13,18,"G14"
R18,G17,22,"G14"
R18,G18,24,"G14"
R18,G19,27,"G14"
R18,O19,30,"O11"
R18,O18,28,"O11"
R18,O17,26,"O11"
R18,Y18,26,"O11"
R18,O16,23,"O11"
R18,O15,21,"O11"
R18,O14,19,"O11"
R18,O13,17,"O11"
R18,O12,14,"O11"
R18,O10,14,"O11"
R18,O09,16,"O11"
R18,G15,18,"G14"
R18,O08,18,"G14"
R18,R07,22,""
R18,O06,22,""
R18,O54,25,"O11"
R18,O53,23,"O11"
R18,O52,21,"O11"
R18,O51,19,"O11"
R18,O50,17,"O11"
R18,O21,36,"O11"
R18,O20,33,"O11"
R18,Y08,37,"G10,Y07"
R18,Y09,40,"G10,Y07"
R18,Y10,43,"O06,Y11"
R18,Y12,44,"O06,Y11"
R18,Y13,47,"O06,Y11"
R18,Y14,43,"O11,Y18"
R18,Y15,41,"O11,Y18"
R18,Y16,38,"O11,Y18"
R18,Y17,34,"O11,Y18"
R18,Y19,33,"O11,Y18"
R18,Y20,36,"O11,Y18"
R19,R20,2,""
R19,R21,4,""
R19,R22,6,""
R19,R22A,11,""
R19,R23,8,""
R19,R24,11,""
R19,R25,13,""
R19,R26,15,""
R19,R27,18,""
R19,R28,21,""
R19,BL01,47,"BL12"
R19,BL02,43,"BL12"
R19,BL03,41,"BL12"
R19,BL04,39,"BL12"
R19,BL05,36,"BL12"
R19,BL06,34,"BL12"
R19,BL07,32,"BL12"
R19,BL08,30,"BL12"
R19,BL09,28,"BL12"
R19,BL10,25,"BL12"
R19,G12,21,"G14"
R19,BL11,21,"G14"
R19,BL13,21,"BL12"
R19,O07,22,"O11"
R19,BL14,22,"O11"
R19,BL16,27,"BL12"
R19,BL17,29,"BL12"
R19,BL18,30,"BL12"
R19,BL19,32,"BL12"
R19,BL20,34,"BL12"
R19,BL21,36,"BL12"
R19,BL22,38,"BL12"
R19,R02,33,""
R19,R03,31,""
R19,R04,29,""
R19,R06,25,""
R19,G13,20,"G14"
R19,G17,23,"G14"
R19,G18,26,"G14"
R19,G19,28,"G14"
R19,O19,32,"O11"
R19,O18,29,"O11"
R19,O17,27,"O11"
R19,Y18,27,"O11"
R19,O16,25,"O11"
R19,O15,22,"O11"
R19,O14,20,"O11"
R19,O13,18,"O11"
R19,O12,16,"O11"
R19,O10,16,"O11"
R19,O09,18,"O11"
R19,G15,19,"G14"
R19,O08,19,"G14"
R19,R07,23,""
R19,O06,23,""
R19,O54,27,"O11"
R19,O53,25,"O11"
R19,O52,23,"O11"
R19,O51,21,"O11"
R19,O50,19,"O11"
R19,O21,37,"O11"
R19,O20,34,"O11"
R19,Y08,39,"G10,Y07"
R19,Y09,41,"G10,Y07"
R19,Y10,44,"O06,Y11"
R19,Y12,46,"O06,Y11"
R19,Y13,48,"O06,Y11"
R19,Y14,45,"O11,Y18"
R19,Y15,42,"O11,Y18"
R19,Y16,39,"O11,Y18"
R19,Y17,35,"O11,Y18"
R19,Y19,35,"O11,Y18"
R19,Y20,37,"O11,Y18"
R20,R21,2,""
R20,R22,4,""
R20,R22A,9,""
R20,R23,6,""
R20,R24,9,""
R20,R25,10,""
R20,R26,13,""
R20,R27,16,""
R20,R28,19,""
R20,BL01,49,"BL12"
R20,BL02,45,"BL12"
R20,BL03,43,"BL12"
R20,BL04,41,"BL12"
R20,BL05,38,"BL12"
R20,BL06,36,"BL12"
R20,BL07,34,"BL12"
R20,BL08,32,"BL12"
R20,BL09,30,"BL12"
R20,BL10,27,"BL12"
R20,G12,24,"G14"
R20,BL11,24,"G14"
R20,BL13,23,"BL12"
R20,O07,24,"O11"
R20,BL14,24,"O11"
R20,BL16,29,"BL12"
R20,BL17,31,"BL12"
R20,BL18,33,"BL12"
R20,BL19,34,"BL12"
R20,BL20,36,"BL12"
R20,BL21,38,"BL12"
R20,BL22,41,"BL12"
R20,R02,35,""
R20,R03,33,""
R20,R04,31,""
R20,R06,27,""
R20,G13,22,"G14"
R20,G17,26,"G14"
R20,G18,28,"G14"
R20,G19,30,"G14"
R20,O19,34,"O11"
R20,O18,31,"O11"
R20,O17,29,"O11"
R20,Y18,29,"O11"
R20,O16,27,"O11"
R20,O15,24,"O11"
R20,O14,22,"O11"
R20,O13,20,"O11"
R20,O12,18,"O11"
R20,O10,18,"O11"
R20,O09,20,"O11"
R20,G15,21,"G14"
R20,O08,21,"G14"
R20,R07,25,""
R20,O06,25,""
R20,O54,29,"O11"
R20,O53,27,"O11"
R20,O52,25,"O11"
R20,O51,23,"O11"
R20,O50,21,"O11"
R20,O21,39,"O11"
R20,O20,36,"O11"
R20,Y08,41,"G10,Y07"
R20,Y09,43,"G10,Y07"
R20,Y10,46,"O06,Y11"
R20,Y12,48,"O06,Y11"
R20,Y13,50,"O06,Y11"
R20,Y14,47,"O11,Y18"
R20,Y15,44,"O11,Y18"
R20,Y16,41,"O11,Y18"
R20,Y17,38,"O11,Y18"
R20,Y19,37,"O11,Y18"
R20,Y20,39,"O11,Y18"
R21,R22,2,""
R21,R22A,8,""
R21,R23,5,""
R21,R24,7,""
R21,R25,9,""
R21,R26,12,""
R21,R27,14,""
R21,R28,18,""
R21,BL01,50,"BL12"
R21,BL02,47,"BL12"
R21,BL03,45,"BL12"
R21,BL04,43,"BL12"
R21,BL05,40,"BL12"
R21,BL06,38,"BL12"
R21,BL07,36,"BL12"
R21,BL08,34,"BL12"
R21,BL09,32,"BL12"
R21,BL10,28,"BL12"
R21,G12,25,"G14"
R21,BL11,25,"G14"
R21,BL13,25,"BL12"
R21,O07,26,"O11"
R21,BL14,26,"O11"
R21,BL16,31,"BL12"
R21,BL17,32,"BL12"
R21,BL18,34,"BL12"
R21,BL19,36,"BL12"
R21,BL20,38,"BL12"
R21,BL21,40,"BL12"
R21,BL22,42,"BL12"
R21,R02,37,""
R21,R03,35,""
R21,R04,33,""
R21,R06,29,""
R21,G13,23,"G14"
R21,G17,27,"G14"
R21,G18,29,"G14"
R21,G19,32,"G14"
R21,O19,36,"O11"
R21,O18,33,"O11"
R21,O17,31,"O11"
R21,Y18,31,"O11"
R21,O16,29,"O11"
R21,O15,26,"O11"
R21,O14,24,"O11"
R21,O13,22,"O11"
R21,O12,20,"O11"
R21,O10,20,"O11"
R21,O09,22,"O11"
R21,G15,23,"G14"
R21,O08,23,"G14"
R21,R07,27,""
R21,O06,27,""
R21,O54,31,"O11"
R21,O53,28,"O11"
R21,O52,26,"O11"
R21,O51,25,"O11"
R21,O50,22,"O11"
R21,O21,41,"O11"
R21,O20,38,"O11"
R21,Y08,43,"G10,Y07"
R21,Y09,45,"G10,Y07"
R21,Y10,48,"O06,Y11"
R21,Y12,50,"O06,Y11"
R21,Y13,52,"O06,Y11"
R21,Y14,48,"O11,Y18"
R21,Y15,46,"O11,Y18"
R21,Y16,43,"O11,Y18"
R21,Y17,39,"O11,Y18"
R21,Y19,38,"O11,Y18"
R21,Y20,41,"O11,Y18"
R22,R22A,3,""
R22,R23,3,""
R22,R24,5,""
R22,R25,7,""
R22,R26,10,""
R22,R27,12,""
R22,R28,16,""
R22,BL01,52,"BL12"
R22,BL02,49,"BL12"
R22,BL03,47,"BL12"
R22,BL04,45,"BL12"
R22,BL05,42,"BL12"
R22,BL06,40,"BL12"
R22,BL07,38,"BL12"
R22,BL08,36,"BL12"
R22,BL09,34,"BL12"
R22,BL10,30,"BL12"
R22,G12,27,"G14"
R22,BL11,27,"G14"
R22,BL13,27,"BL12"
R22,O07,28,"O11"
R22,BL14,28,"O11"
R22,BL16,33,"BL12"
R22,BL17,34,"BL12"
R22,BL18,36,"BL12"
R22,BL19,38,"BL12"
R22,BL20,40,"BL12"
R22,BL21,42,"BL12"
R22,BL22,44,"BL12"
R22,R02,39,""
R22,R03,37,""
R22,R04,35,""
R22,R06,31,""
R22,G13,25,"G14"
R22,G17,29,"G14"
R22,G18,31,"G14"
R22,G19,34,"G14"
R22,O19,37,"O11"
R22,O18,35,"O11"
R22,O17,33,"O11"
R22,Y18,33,"O11"
R22,O16,31,"O11"
R22,O15,28,"O11"
R22,O14,26,"O11"
R22,O13,24,"O11"
R22,O12,21,"O11"
R22,O10,21,"O11"
R22,O09,24,"O11"
R22,G15,25,"G14"
R22,O08,25,"G14"
R22,R07,29,""
R22,O06,29,""
R22,O54,33,"O11"
R22,O53,30,"O11"
R22,O52,28,"O11"
R22,O51,27,"O11"
R22,O50,24,"O11"
R22,O21,43,"O11"
R22,O20,40,"O11"
R22,Y08,45,"G10,Y07"
R22,Y09,47,"G10,Y07"
R22,Y10,50,"O06,Y11"
R22,Y12,52,"O06,Y11"
R22,Y13,54,"O06,Y11"
R22,Y14,50,"O11,Y18"
R22,Y15,48,"O11,Y18"
R22,Y16,45,"O11,Y18"
R22,Y17,41,"O11,Y18"
R22,Y19,40,"O11,Y18"
R22,Y20,43,"O11,Y18"
R22A,R23,8,"R22"
R22A,R24,11,"R22"
R22A,R25,12,"R22"
R22A,R26,15,"R22"
R22A,R27,18,"R22"
R22A,R28,21,"R22"
R22A,BL01,58,"R22,BL12"
R22A,BL02,54,"R22,BL12"
R22A,BL03,52,"R22,BL12"
R22A,BL04,50,"R22,BL12"
R22A,BL05,47,"R22,BL12"
R22A,BL06,45,"R22,BL12"
R22A,BL07,44,"R22,BL12"
R22A,BL08,41,"R22,BL12"
R22A,BL09,40,"R22,BL12"
R22A,BL10,36,"R22,BL12"
R22A,G12,33,"R22,G14"
R22A,BL11,33,"R22,G14"
R22A,BL13,33,"R22,BL12"
R22A,O07,33,"R22,O11"
R22A,BL14,33,"R22,O11"
R22A,BL16,38,"R22,BL12"
R22A,BL17,40,"R22,BL12"
R22A,BL18,42,"R22,BL12"
R22A,BL19,44,"R22,BL12"
R22A,BL20,45,"R22,BL12"
R22A,BL21,48,"R22,BL12"
R22A,BL22,50,"R22,BL12"
R22A,R02,44,"R22"
R22A,R03,42,"R22"
R22A,R04,40,"R22"
R22A,R06,36,"R22"
R22A,G13,31,"R22,G14"
R22A,G17,35,"R22,G14"
R22A,G18,37,"R22,G14"
R22A,G19,40,"R22,G14"
R22A,O19,43,"R22,O11"
R22A,O18,40,"R22,O11"
R22A,O17,38,"R22,O11"
R22A,Y18,38,"R22,O11"
R22A,O16,36,"R22,O11"
R22A,O15,33,"R22,O11"
R22A,O14,32,"R22,O11"
R22A,O13,30,"R22,O11"
R22A,O12,27,"R22,O11"
R22A,O10,27,"R22,O11"
R22A,O09,29,"R22,O11"
R22A,G15,31,"R22,G14"
R22A,O08,31,"R22,G14"
R22A,R07,35,"R22"
R22A,O06,35,"R22"
R22A,O54,38,"R22,O11"
R22A,O53,36,"R22,O11"
R22A,O52,34,"R22,O11"
R22A,O51,32,"R22,O11"
R22A,O50,30,"R22,O11"
R22A,O21,49,"R22,O11"
R22A,O20,45,"R22,O11"
R22A,Y08,50,"R22,G10,Y07"
R22A,Y09,53,"R22,G10,Y07"
R22A,Y10,55,"R22,O06,Y11"
R22A,Y12,57,"R22,O06,Y11"
R22A,Y13,59,"R22,O06,Y11"
R22A,Y14,56,"R22,O11,Y18"
R22A,Y15,54,"R22,O11,Y18"
R22A,Y16,50,"R22,O11,Y18"
R22A,Y17,47,"R22,O11,Y18"
R22A,Y19,46,"R22,O11,Y18"
R22A,Y20,49,"R22,O11,Y18"
R23,R24,2,""
R23,R25,4,""
R23,R26,7,""
R23,R27,10,""
R23,R28,13,""
R23,BL01,55,"BL12"
R23,BL02,51,"BL12"
R23,BL03,49,"BL12"
R23,BL04,47,"BL12"
R23,BL05,44,"BL12"
R23,BL06,42,"BL12"
R23,BL07,41,"BL12"
R23,BL08,38,"BL12"
R23,BL09,37,"BL12"
R23,BL10,33,"BL12"
R23,G12,30,"G14"
R23,BL11,30,"G14"
R23,BL13,30,"BL12"
R23,O07,30,"O11"
R23,BL14,30,"O11"
R23,BL16,35,"BL12"
